A2SOHTPWH4VGP5,1.86
A2TDG6J24S3T5H,1.43
A1V1Q9L3DG40WQ,1.50
AW20MQTG1Z8LF,2.75
A2OVIHW0FX4AJK,1.62
AMW5JN5PYY3AX,1.76
A3CJS37DSXQOAZ,2.73
A2URFYGXXNQR2V,1.91
A3BB2NG85PD9DB,2.41
A3UC9N3EEE6733,2.32
A2WDF40FA670T9,2.10
A33PQXKQHFVF3V,1.80
A2ESBX4C2Q6TQY,0.83
A1XQPDHAN5IY0R,0.44
A2M3FPQF852HW4,2.31
A2Z6EQWA4XJQGI,2.25
A1CZ2GB5LZ9O5H,2.44
A3158ZPCWPBRFR,2.44
A3EYR69AQ6D76I,1.62
A2T2S57TLU66LK,2.47
A3FI4PWGQDJN25,2.61
A38N2MBXP7IOPS,0.27
A2VNR6984SDFGQ,2.73
A6T77NZT2OVOX,2.59
A1T51IL25UC4WR,1.42
AR4XFM7G1W0VQ,2.55
A2ZGAH6NOSU2PO,1.48
A10VSBSNWO84SH,1.07
ALUKD738FTTZW,1.82
A1Z2ZGPJRGG0G3,1.18
A2B5HZBQ6C3J3L,2.15
ALBUUWRN9Q07U,2.94
AWWLXQEJDDH4F,1.14
A2WD7K61WGL37E,1.19
AOBTFLJU2BEPR,1.70
AFHIYW7ATEDNM,0.42
A304UJAE051J89,1.19
AWAW665TQQP2F,2.58
A2LTGFMW5PUE01,2.76
AUODB4IVC82I9,2.98
A1KOHXO0BIQB8T,2.10
A1DJDT4B5B19Q2,2.62
A1B78YH6IB8K3Z,0.86
A1F2VHKMDWEA2X,0.61
APF1EAZT104LQ,0.09
A3542PB4Z0NE80,2.27
A1506T1PAYRT16,2.74
AQBMXL3D39ZC0,1.83
A15Q49F252IO5X,2.36
A1Y6HGDW6ZAYBY,1.34
A30G113XRQO3VL,2.62
A1Q93M41J566U1,2.14
A3P5WIW36V70AI,2.35
A710KFWM7SFLG,2.95
A3SC4U74B4M9PB,1.70
A39KHMYFO61LKN,2.86
A279YSE7NB16M0,2.70
A3UQ9R1VDVVQKR,2.66
A2GXE6MIDN8DPR,2.84
A1QJ2VPPZG16EG,2.36
A2CNXQG6YYHTDF,0.30
A3L2FPKRD46FRW,2.61
AA402T4YY1S7N,2.94
A2NEFRREWF33YP,1.83
A21LRWEV050G11,2.52
AA6K05EFNJ3T0,2.57
A3DUZ6WCFZRLX9,2.42
A17IHC8O946XPF,1.11
A17QHU5Q0FS3GW,1.64
AZZFQ0H7LRLFC,1.13
A2B1V17KZCKN1Y,2.36
AE015UO038LEC,2.34
A3VFEPSZMHZPEY,2.27
AGC9SDAHS3ZQG,2.45
A3NM3GAVMJEI3J,2.99
AVZOC3OGBQRX2,2.86
A26RO8GGTQAXGG,1.66
A2I6ZALE49CVSC,2.63
A2UK1D5ALYM2CN,1.94
A1O67YS3DU0ZHX,0.24
